card_name	count
One Day of Peace	66
Dark Illusion	66
The Six Samurai - Irou	66
Celestia, Lightsworn Angel	66
Gladiator Proving Ground	66
Meteor of Destruction	66
Pitch-Black Warwolf	66
Frostosaurus	65
Chain Strike	65
Level Modulation	65
Heavy Mech Support Platform	65
Zombie World	65
Ojama Knight	65
The Paths of Destiny	65
Prime Material Dragon	65
Gozen Match	65
Silent Doom	65
Bat	65
Black Skull Dragon	65
Lord of D.	65
Kachi Kochi Dragon	65
Rescue Rabbit	65
Gagaga Gardna	65
Gem-Armadillo	65
Gladiator Beast War Chariot	65
Goblin Thief	65
Cyberdark Horn	65
Griggle	64
Fortune Lady Water	64
Volcanic Rocket	64
Elemental HERO Woodsman	64
Ally of Justice Field Marshal	64
Trident Dragion	64
Book of Taiyou	64
Relinquished	64
Thousand Dragon	64
Ninja Grandmaster Hanzo	64
The Lady in Wight	64
XX-Saber Faultroll	64
Ordeal of a Traveler	64
Gladiator Beast Laquari	64
Dragunity Dux	64
Volcanic Counter	63
Volcanic Slicer	63
Dream Clown	63
Magical Hats	63
Blazing Inpachi	63
Synchron Explorer	63
Final Flame	63
Armored Zombie	63
The Snake Hair	63
Breakthrough Skill	63
Alexandrite Dragon	63
Des Kangaroo	63
Crystal Abundance	63
Cyberdark Edge	63
Cyberdark Keel	63
Jurrac Giganoto	62
Mark of the Rose	62
Troop Dragon	62
Expressroid	62
Blaze Accelerator	62
Steel Scorpion	62
Xing Zhen Hu	62
Blade Skater	62
Constellar Pleiades	62
Daigusto Emeral	62
Steelswarm Roach	62
Diamond Dire Wolf	62
Broww, Huntsman of Dark World	62
Oxygeddon	62
Manticore of Darkness	62
Amazoness Paladin	62
Alien Hypno	62
Golden Flying Fish	62
Dupe Frog	62
Vehicroid Connection Zone	61
Fighting Spirit	61
Dancing Elf	61
Spiritual Earth Art - Kurogane	61
Alpha The Magnet Warrior	61
Fake Trap	61
Bowganian	61
7 Completed	61
XYZ-Dragon Cannon	61
Dark Magic Curtain	61
Heroic Champion - Excalibur	61
Flamvell Firedog	61
The Six Samurai - Yaichi	61
Daigusto Phoenix	61
Malevolent Catastrophe	61
Cloudian Squall	61
The Calculator	61
Gem-Knight Tourmaline	61
Guardian Angel Joan	60
Chaos King Archfiend	60
Trap Dustshoot	60
Skyscraper	60
Star Boy	60
Black Illusion Ritual	60
Gravedigger Ghoul	60
Gamma the Magnet Warrior	60
Gaia Dragon, the Thunder Charger	60
Superancient Deepsea King Coelacanth	60
The Monarchs Stormforth	60
Transmodify	60
Jade Knight	60
Necroface	60
Crystal Seer	60
Gravekeeper's Commandant	60
Splendid Rose	59
Delta Crow - Anti Reverse	59
Karate Man	59
Stronghold the Moving Fortress	59
Umiiruka	59
Stygian Street Patrol	59
Muka Muka	59
Acid Trap Hole	59
Cyber Dragon Zwei	59
Maxx "C"	59
Decoy Dragon	59
Toon Cannon Soldier	59
Solar Wind Jammer	59
Chaos Necromancer	59
Bazoo the Soul-Eater	59
Gem-Knight Alexandrite	59
Spell Striker	59
Venom Snake	59
Alien Mother	59
D.D. Trainer	59
Batteryman AA	59
Jurrac Monoloph	58
Super Vehicroid - Stealth Union	58
Frontline Base	58
Malevolent Mech - Goku En	58
Strong Wind Dragon	58
Red Nova Dragon	58
Reptilianne Naga	58
Worm Cartaros	58
Worm Yagan	58
Gemini Spark	58
Jutte Fighter	58
The Legendary Fisherman	58
Water Hazard	58
Twin Twisters	58
Dragon Ravine	58
Mist Valley Thunder Lord	58
Des Frog	58
Jurrac Guaiba	57
Tragedy	57
Armed Dragon LV7	57
Kuraz the Light Monarch	57
Genex Undine	57
Swordsman of Landstar	57
Zone Eater	57
Yami	57
Magical Arm Shield	57
Dark Fusion	57
Raviel, Lord of Phantasms	57
Ninjitsu Art of Transformation	57
Gateway to Dark World	57
Cloudian - Cirrostratus	57
Ultimate Insect LV3	57
Vanadis of the Nordic Ascendant	57
Alien Telepath	57
Great Shogun Shien	57
Alligator's Sword Dragon	56
Horn of the Unicorn	56
Graceful Dice	56
